id,title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
126,"Praha (Prague), Národní knihovna České republiky (National Library), XIV.B.13",CZ-Pu XIV B 13,,,,14th century,"Prague, St. George Monastery",,,,,,,http://cantusdatabase.org/source/123730,Monastic,,,
127,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1010",A-KN 1010,,,,12th century,Klosterneuburg,,,,,,,http://cantusdatabase.org/source/123653,Secular,,,
128,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1011",A-KN 1011,,,,14th century,Klosterneuburg,,,,,,,http://cantusdatabase.org/source/123654,Secular,,,
129,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1015",A-KN 1015,,,,14th century,Klosterneuburg,,,,,,,http://cantusdatabase.org/source/123655,Secular,,,
130,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1017",A-KN 1017,,,,13th century,Klosterneuburg,,,,,,,http://cantusdatabase.org/source/123615,Secular,,,
131,"Sankt Gallen, Stiftsbibliothek, 390",CH-SGs 390,,,,10th century (975-1000),St. Gallen,,,,,,,http://cantusdatabase.org/source/123717,Monastic,,,
132,"Trier, Stadtbibliothek Weberbach Trier, Fragmentenbox 12b, Fragment 23-42, no. 40b (fragment)",D-TRs 12b 23-42 40b (fragment),,,,,Germany,,,,,,,http://cantusdatabase.org/source/697865,,,,
133,"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32)",D-W 29 Helmst.,,,,16th century,Hilwartshausen,,,,,,,http://cantusdatabase.org/source/123715,Secular,,,
134,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [01] I",DK-Kk 3449 8o [01] I,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123689,Secular,,,
135,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1",PL-KIk 1,,,,14th century (1350-1375),Kielce,,,,,,,http://cantusdatabase.org/source/123736,Secular,,,
136,"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 18 (olim 17)",SI-Lna 18 (olim 17),,,,15th century (1475-1500),Kranj,,,,,,,http://cantusdatabase.org/source/123618,Secular,,,
137,Cz-Pu (Praha) XIV A 19,CZ-Pu Pu XIV A 19,,,,14th century,Prague,,,,,,,http://cantusbohemiae.cz/source/4478,,,,
138,"SK-BSa (Banská Štiavnica) Protocollum No.inv.269 16 MMBŠ 16K12 1587-1591, škatuľa 5",SK-BSa 269,,,,14th century,Slovakia,,,,,,,http://cantus.sk/source/58,,,,
139,PL-Klk 1 Antyfonarz kielecki,1,,,,14th century,Kielce,,,,,,,http://cantus.ispan.pl/source/4557,,,,
140,PL-STAb 1 Antiphonarium,ms. 1,,,,16th century,Staniątki,,,,,,,http://cantus.ispan.pl/source/21018,,,,
141,D-B Theol. Lat. Qu. 149 Breviarium monasticum,Theol. Lat. Qu. 149,,,,,Lubiń,,,,,,,http://cantus.ispan.pl/source/22868,,,,
142,V-CVbav : Reg.lat.0466,V-CVbav Reg.lat.0466,,,,10th century,Saint-Thierry de Reims,,,,,,,http://musmed.eu/source/14884,Monastic,,,
143,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0064 (fragment)",CDN-Mlr MS Medieval 0064 (fragment),,,,14th century,Italy,,,,,,,http://cantusdatabase.org/source/693504,,,,
