title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
"F-Pn : Lat. 904","F-Pn Lat. 904",,,,"13th century","Cathédrale de Rouen",,,,,,,"http://musmed.eu/source/13023",,,,
"Mainz, Bischöfliches Dom- und Diözesanmuseum, B","D-MZb B",,,,"15th century (1425-1450)",Mainz,,,,,,,"http://cantus.uwaterloo.ca/source/123621",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [05] V","DK-Kk 3449 8o [05] V",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123693",Secular,,,
"Salamanca, Catedral - Archivo Musical, 5","E-SA 5",,,,"14th century",Salamanca,,,,,,,"http://cantus.uwaterloo.ca/source/123636",Secular,,,
"Budapest, Egyetemi Könyvtár (University Library), lat. 118","H-Bu lat. 118",,,,"14th century",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/123597",Secular,,,
"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. D Nr. 5","HR-Hf Cod. D",,,,"15th century (2nd half)",Venice,,,,,,,"http://cantus.uwaterloo.ca/source/123720",Secular,,,
"P-BRs (Braga) Arquivo da Sé Ms. 032","P-BRs Ms. 032",,,,"16th century (first quarter)","Braga, Catedral",,,,,,,"http://pemdatabase.eu/source/47990",Secular,,,
"SK-BRsa Antiphonarium Scepusiense Protocol 1550-1557","SK-BRsa Spis 1550",,,,"15th century","Slovakia - Spišská Kapitula",,,,,,,"http://cantus.sk/source/13837",,,,
"SK-Bra (Bratislava) EC Lad.1/2","SK-Bra ECLad.1/2",,,,"13th century",Germany,,,,,,,"http://cantus.sk/source/10948",,,,
"PL-PŁsem MsEPl 12 Antyfonarz z Płocka, pars de tempore","MsEPl 12",,,,"15th century",Płock,,,,,,,"http://cantus.ispan.pl/source/14457",,,,
"Dendermonde, Sint-Pieters-en Paulusabdij, ms. 9","B-DEa 9",,,,"12th century (2nd half)",Rupertsberg,,,,,,,"http://cantus.uwaterloo.ca/source/588309",,,,
"Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex)","D-WI1 2",,,,"12th century (1175-1200)",Rupertsberg,,,,,,,"http://cantus.uwaterloo.ca/source/588308",,,,
"Budapest, Egyetemi Könyvtár (University Library), lat. 119","H-Bu lat. 119",,,,"14th century",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/123598",Secular,,,
"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. F Nr. 6","HR-Hf Cod. F",,,,"15th century (2nd half)",Venice,,,,,,,"http://cantus.uwaterloo.ca/source/123722",Secular,,,
"SK-BJ (Bardejov) Antiphonarium MMBJ 2285","SK-BJ (Bardejov) MMBJ 2285",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29802",,,,
"Sydney, University of Sydney, Fisher Library, Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)","AUS-Sfl Add. Ms. 413",,,,"16th century (2nd half)",Spain,,,,,,,"http://cantus.uwaterloo.ca/source/669163",Secular,,,
"Mainz, Bischöfliches Dom- und Diözesanmuseum, A","D-MZb A",,,,"15th century (1425-1450)",Mainz,,,,,,,"http://cantus.uwaterloo.ca/source/123620",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [02] II","DK-Kk 3449 8o [02] II",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123690",Secular,,,
"Salamanca, Catedral - Archivo Musical, 6","E-SA 6",,,,"14th century",Salamanca,,,,,,,"http://cantus.uwaterloo.ca/source/123650",Secular,,,
"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. C Nr. 4","HR-Hf Cod. C",,,,"15th century (2nd half)",Venice,,,,,,,"http://cantus.uwaterloo.ca/source/123719",Secular,,,
"PL-Wn  12720 V Antyfonarz opata Mścisława z Tyńca, pars de tempore"," rps 12720 V",,,,"15th century",Tyniec,,,,,,,"http://cantus.ispan.pl/source/13720",,,,
"London (Canada), University of Western Ontario - Music Library, M2150","CDN-Lu M2150",,,,"16th century","Burgos (?)",,,,,,,"http://cantus.uwaterloo.ca/source/123619",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [07] VII","DK-Kk 3449 8o [07] VII",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123695",Secular,,,
"Kansas City, Miller Nichols Library, LaBudde Special Collections M2149.2 .V4 1629","US-KClbsc M2149.2 .V4 1629",,,,"17th century (1st half)",Spain,,,,,,,"http://cantus.uwaterloo.ca/source/710152",Secular,,,
"P-BRs (Braga) Arquivo da Sé Ms. 034","P-BRs Ms. 034",,,,1510-1515,"Braga, Catedral",,,,,,,"http://pemdatabase.eu/source/47612",,,,
"SK-Bra (Bratislava) Antiphonary of Bratislava IIa EC Lad.4","SK-Bra BAIIa EC Lad.4",,,,"15th century",Bratislava,,,,,,,"http://cantus.sk/source/12363",,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [17] XVII","DK-Kk 3449 8o [17] XVII",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123705",Secular,,,
"Porrentruy, Bibliothèque cantonale jurassienne, 18","CH-P 18",,,,"12th century","Bellelay Abbey",,,,,,,"http://cantus.uwaterloo.ca/source/638308",Monastic,,,
"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1240","F-Pn Lat. 1240",,,,"10th century",St-Martial,,,,,,,"http://cantus.uwaterloo.ca/source/123629",,,,
"Princeton , Princeton University Archive, Princeton MS. 245","US-PRu Princeton MS. 245",,,,"13th century (2nd half)",Dominican,,,,,,,"http://cantus.uwaterloo.ca/source/691366",,,,
"P-Ln (Lisboa) Biblioteca Nacional de Portugal Iluminado 084","P-Ln Iluminado 084",,,,"c. 1400 (after 1297)","Sens (F)",,,,,,,"http://pemdatabase.eu/source/52642",,,,
"SK-BRnm (Bratislava) Slovenské národné múzeum - Hudobné múzeum Graduale","SK-BRnm MUS I 78",,,,"15th century",Moravia,,,,,,,"http://cantus.sk/source/19263",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXII/308","SK-Lap (Levoča) MMLE XXII/308",,,,"16th century",Hungary,,,,,,,"http://cantus.sk/source/29833",,,,
"SK-Lap (Levoča) Antiphonarium MMLE XXII/256","SK-Lap (Levoča) MMLE XXII/256",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29838",,,,
"D-KWsr : Drachenfels-Missale","D-KWsr Drachenfels-Missale",,,,"13th century",Heisterbach,,,,,,,"http://musmed.eu/source/11578",,,,
"V-CVbav : Archivio di San Pietro F.22","V-CVbav Archivio di San Pietro F.22",,,,"13th century","Italie, Roma, S. Pietro",,,,,,,"http://musmed.eu/source/14749",,,,
"CH-SGs : Cod 0338","CH-SGs Cod 0338",,,,"11th century","St Gallen",,,,,,,"http://musmed.eu/source/14272",,,,
"CH-SGs : Cod 0342","CH-SGs Cod 0342",,,,"10th century","St Gallen",,,,,,,"http://musmed.eu/source/14275",,,,
"F-AUT : Ms S 0012 (11)","F-AUT Ms S 0012 (11)",,,,"12th century","Nord-Est de l’Ile de France",,,,,,,"http://musmed.eu/source/8575",,,,
"F-Pn : Lat. 833","F-Pn Lat. 833",,,,"12th century","Adapté à l’ordinaire de Prémontré au XVe s",,,,,,,"http://musmed.eu/source/13007",,,,
"F-Pn : Lat. 17307","F-Pn Lat. 17307",,,,"12th century"," Ex-libris S. Cornelii Compend. Congr. S. Mauri, XVIIe s., f. 1 Compiègne",,,,,,,"http://musmed.eu/source/13489",,,,
"CH-SGs : Cod 0375","CH-SGs Cod 0375",,,,"12th century","St Gallen",,,,,,,"http://musmed.eu/source/14287",,,,
"F-Pa : Ms 0197","F-Pa Ms 0197",,,,"13th century","France, Paris, Abbaye Saint-Victor de Paris",,,,,,,"http://musmed.eu/source/98760",,,,
"NL-Uu : Hs. 0062","NL-Uu Hs. 0062",,,,"13th century",Utrecht,,,,,,,"http://musmed.eu/source/144306",,,,
"F-PR : Ms 0012","F-PR Ms 0012",,,,"13th century",Chartres,,,,,,,"http://musmed.eu/source/14008",,,,
"V-CVbav : Ross.0076","V-CVbav Ross.0076",,,,"13th century","Italie, Aquileia",,,,,,,"http://musmed.eu/source/98746",,,,
"F-LA : Ms 0263","F-LA Ms 0263",,,,"12th century","A l’usage de la cathédrale Notre-Dame de Laon",,,,,,,"http://musmed.eu/source/11602",,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [10] X","DK-Kk 3449 8o [10] X",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123698",Secular,,,
"SK-Brl (Bratislava) Lyc F I 210","SK-BRl Lyc FI210",,,,"15th century","Central Europe (Poland, Slovakia)",,,,,,,"http://cantus.sk/source/4987",,,,
"F-SO : Ms 0334","F-SO Ms 0334",,,,"13th century",Cluny,,,,,,,"http://musmed.eu/source/14251",Monastic,,,
"SK-BSa (Banská Štiavnica) Spitalls Raittung der Gemeiner Stadt Schemnitz 1600-1601 (sine Sign.)","SK-BSa 1600-1601",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/125",,,,
"F-CA : Ms 0061 (62)","F-CA Ms 0061 (62)",,,,"12th century","Lille, St-Pierre",,,,,,,"http://musmed.eu/source/9071",,,,
"GB-Lbl : Harley 1117","GB-Lbl Harley 1117",,,,"10th century","Angleterre, Canterbury, Christ Church Cathedral ?",,,,,,,"http://musmed.eu/source/11745",Monastic,,,
"I-Rn : Ms.Sess.96","I-Rn Ms.Sess.96",,,,"9th century",Nonantola,,,,,,,"http://musmed.eu/source/17337",Monastic,,,
"PL-STAb 2 Antiphonarium","ms. 2",,,,"16th century",Staniątki,,,,,,,"http://cantus.ispan.pl/source/21623",,,,
"PL-Wn 12496 IV Graduale cisterciense","Rps 12496 IV",,,,"13th century",Silesia,,,,,,,"http://cantus.ispan.pl/source/33686",,,,
"PL-WRu I F 414 Cistercian Gradual (Silesia)","I F 414",,,,"13th century","Cistercian, Lubiąż (Silesia)",,,,,,,"http://cantus.ispan.pl/source/36027",,,,
"D-HEu : Cod. Sal. X,007","D-HEu Cod. Sal. X,007",,,,"13th century"," Allemagne, Salem",,,,,,,"http://musmed.eu/source/17266",,,,
"Great Britain, Corpus Christi College, Cambridge, MS. 146","GB-Ccc MS. 146",,,,"11th century",English,,,,,,,"http://cantus.uwaterloo.ca/source/674988",Secular,,,
"F-AI : Ms 0044","F-AI Ms 0044",,,,"9th century","France, Diocèse d'Albi, Albi, Cathédrale Sainte Cécile d'Albi",,,,,,,"http://musmed.eu/source/8386",Romanum,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [08] VIII","DK-Kk 3449 8o [08] VIII",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123696",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [15] XV","DK-Kk 3449 8o [15] XV",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123703",Secular,,,
"P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 021","P-AR Res. Ms. 021",,,,"c. 1200","Arouca, Mosteiro de Santa Maria",,,,,,,"http://pemdatabase.eu/source/62867",Monastic,,,
"P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (20)","P-Cua IV-3ª Gav. 44 (20)",,,,"c. 1100","Coimbra, Colégio de Jesus",,,,,,,"http://pemdatabase.eu/source/46573",Secular,,,
"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 8 ANTIPHONARIUM Sign. K0000/08022, HK 08022","SK-BEt K0000/08022",,,,"15th century","Central Europe",,,,,,,"http://cantus.sk/source/29074",,,,
"SK-BRsa Inv.Nr. 176","SK-BRsa Palffy 176",,,,"15th century",Hungary,,,,,,,"http://cantus.sk/source/13692",,,,
"F-Pn : Lat. 12239","F-Pn Lat. 12239",,,,"11th century",Corbie,,,,,,,"http://musmed.eu/source/13391",,,,
"SK-BRsa Antiphonarium Bibliotheca Capituli Posoniensis Manus. 192","SK-BRsa Manus.192",,,,"15th century","Slovakia / Hungary",,,,,,,"http://cantus.sk/source/13896",,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [09] IX","DK-Kk 3449 8o [09] IX",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123697",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [16] XVI","DK-Kk 3449 8o [16] XVI",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123704",Secular,,,
"Bibliothèque nationale de France, Département des manuscrits, Latin 943 ","F-Pnm lat. 943",,,,"10th century (2nd half)",English,,,,,,,"http://cantus.uwaterloo.ca/source/672486",Secular,,,
"PL-WRu I F 413 Cistercian Gradual (Silesia)","I F 413",,,,"14th century","Cistercians, Lubiąż (Silesia) - Cistercians, Kamieniec Ząbkowicki (Silesia)",,,,,,,"http://cantus.ispan.pl/source/39360",,,,
"SK-KO (Košice) Breviarium Fragm. MUSIC a","SK-KO (Košice) Fragm. MUSIC a",,,,"15th century","medieval Hungary (Spiš)",,,,,,,"http://cantus.sk/source/31253",,,,
"F-Pn : Lat. 780","F-Pn Lat. 780",,,,"11th century","Cathédrale d'Arles; Colbert 1686; Regius 3880b",,,,,,,"http://musmed.eu/source/12990",,,,
"Reconstitution : Sacramentaire de Tours (TU1)","Reconstitution Sacramentaire de Tours (TU1)",,,,"9th century","à l'usage de l'église de Tours",,,,,,,"http://musmed.eu/source/29529",,,,
"SK-BRnm (Bratislava) MUS I 3","SK-BRnm MUS I 3",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/204",,,,
"SK-BRsa Inv.Nr. 193/1-2","SK-BRsa Palffy 193",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/13695",,,,
"New York, Columbia University - Rare Book and Manuscript Library, Plimpton MS 041","US-NYcub Plimpton MS 041",,,,"15th century (1450-1475)",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/589026",Monastic,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [12] XII","DK-Kk 3449 8o [12] XII",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123700",Secular,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [13] XIII","DK-Kk 3449 8o [13] XIII",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123701",Secular,,,
"US-NHub : Beinecke MS 0712.077","US-NHub Beinecke MS 0712.077",,,,"10th century",Allemagne,,,,,,,"http://musmed.eu/source/12573",,,,
"F-Pn : Lat. 12584","F-Pn Lat. 12584",,,,"11th century",Saint-Maur-des-Fossés,,,,,,,"http://musmed.eu/source/13399",Monastic,,,
"F-Pn : Lat. 17436","F-Pn Lat. 17436",,,,"9th century","Abbaye Saint-Corneille de Compiègne",,,,,,,"http://musmed.eu/source/13502",Romanum,,,
"E-Sco (Sevilla) Institución Colombina Libro 69","E-Sco Libro 069",,,,"15th century (second half)","Sevilla (E), Catedral",,,,,,,"http://pemdatabase.eu/source/61848",Secular,,,
"SK-BRsa Arm. VI, Lad. 3, Fasc. 4, Nr. 8","SK-BRsa Palffy VI 3 4 8",,,,"14th century","Central Europe",,,,,,,"http://cantus.sk/source/13700",,,,
"SK-BRsa Acta anni Sedlak Nr. 10","SK-BRsa Leles 10",,,,"14th century","Slovakia / Hungary",,,,,,,"http://cantus.sk/source/13704",,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [03] III","DK-Kk 3449 8o [03] III",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123691",Secular,,,
"SK-PREa (Prešov) Breviarium 1","SK-PREa (Prešov) Zb. ilum. 4 ",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29824",,,,
"GB-Lbl : Egerton 0857","GB-Lbl Egerton 0857",,,,"11th century","Nord de la France, Noyon",,,,,,,"http://musmed.eu/source/29583",,,,
"SK-Brl (Bratislava) A 11587","SK-BRl A 11587",,,,"15th century","Central Europe",,,,,,,"http://cantus.sk/source/4990",,,,
"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 10 ANTIPHONARIUM Sign. K0000/10692, HK 10692","SK-BEt K0000/10692",,,,"15th century","Central Europe (Poland/ Slovakia?)",,,,,,,"http://cantus.sk/source/29076",,,,
"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [04] IV","DK-Kk 3449 8o [04] IV",,,,"16th century (1575-1600)",Augsburg,,,,,,,"http://cantus.uwaterloo.ca/source/123692",Secular,,,
"F-Pn : NAL 01235","F-Pn NAL 01235",,,,"12th century",Nevers,,,,,,,"http://musmed.eu/source/13534",,,,
"F-ME : Ms 0732 bis (Pièce 17)","F-ME Ms 0732 bis (Pièce 17)",,,,"13th century","Registre de la paroisse Saint-Eucaire",,,,,,,"http://musmed.eu/source/21714",,,,
"Trier, Bistumsarchiv, Abt. 95, Nr. 5","D-TRb Abt. 95, Nr. 5",,,,"10th century (975-1000)",Eichstätt,,,,,,,"http://cantus.uwaterloo.ca/source/123757",Secular,,,
"SK-Bra (Bratislava) EC Lad.1/22","SK-Bra ECLad.1/22",,,,"15th century","Central Europe",,,,,,,"http://cantus.sk/source/10954",,,,
"F-Pn : Lat. 261","F-Pn Lat. 261",,,,"11th century","Le Mans",,,,,,,"http://musmed.eu/source/12964",,,,
"SK-Bra (Bratislava)  EC Lad.1/27","SK-Bra ECLad.1/27",,,,"15th century","Central Europe ",,,,,,,"http://cantus.sk/source/10955",,,,
"SK-MO (Modra) Magistrát mesta Modry 5148 Register der Abgaben für das Winzerrecht 1627","SK-MO 5148",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/181",,,,
"SK-Bra (Bratislava) EC Lad.2/47","SK-Bra ECLad.2/47",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/10964",,,,
"F-Pn : Lat. 9448","F-Pn Lat. 9448",,,,"10th century","Transféré à Paris entre 1802 et 1804",,,,,,,"http://musmed.eu/source/13296",,,,
"SK-Brl (Bratislava) Frag. 1","SK-BRl Frag. 1",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/4382",,,,
"SK-Brl (Bratislava) Frag. 4","SK-BRl Frag. 4",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/4453",,,,
"SK-MO (Modra) Magistrát mesta Modry 5167 Register der Abgaben für das Winzerrecht 1647","SK-MO 5167",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/182",,,,
"Salamanca, Catedral - Archivo Musical, 8","E-SA 8",,,,"14th century",Salamanca,,,,,,,"http://cantus.uwaterloo.ca/source/123652",Secular,,,
"CH-SGs : Cod 0174","CH-SGs Cod 0174",,,,"10th century","St Gallen",,,,,,,"http://musmed.eu/source/14269",,,,
"Quito, Iglesia de San Francisco - Archivo, 18P16","EC-Qsf 18P16",,,,"16th century (1575-1600)",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/669907",Secular,,,
"V-CVbav : Vat.lat.05319","V-CVbav Vat.lat.05319",,,,"12th century",Latran,,,,,,,"http://musmed.eu/source/14915",,,,
"Den Haag, Koninklijke Bibliotheek - Nationale Bibliotheek van Nederland, 70 E 4","NL-DHk 70 E 4",,,,"12th century",Tongeren,,,,,,,"http://cantus.uwaterloo.ca/source/123657",Secular,,,
"E-Sco (Sevilla) Institución Colombina Libro 31","E-Sco Libro 031",,,,"15th century (second half)","Sevilla (E), Catedral",,,,,,,"http://pemdatabase.eu/source/68598",Secular,,,
"SK-BSa (Banská Štiavnica) No.inv.1873 70 MMBŠ 16K66 1583-1595, škatuľa 21","SK-BSa 1873",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/131",,,,
"F-CA : Ms 0075 (76)","F-CA Ms 0075 (76)",,,,"11th century","France, Arras, Abbaye Saint-Vaast d'Arras",,,,,,,"http://musmed.eu/source/9073",,,,
"Quito, Iglesia de San Francisco - Archivo, 8","EC-Qsf 8",,,,"17th century",Franciscan,,,,,,,"http://cantus.uwaterloo.ca/source/673703",Secular,,,
"E-Sco (Sevilla) Institución Colombina Libro 52","E-Sco Libro 052",,,,"16th century (first half)","Sevilla (E), Catedral",,,,,,,"http://pemdatabase.eu/source/66704",Secular,,,
"D-LEu : Ms Thomas 391","D-LEu Ms Thomas 391",,,,"13th century","Saint-Thomas de Leipzig",,,,,,,"http://musmed.eu/source/138221",,,,
"CH-Cobodmer : C 0074","CH-Cobodmer C 0074",,,,"11th century","Italie, Rome, Ste Cecilia in Trastevere",,,,,,,"http://musmed.eu/source/9492",,,,
"B-Br : II 3823","B-Br II 3823",,,,"12th century",Auvergne,,,,,,,"http://musmed.eu/source/29526",,,,
"Paris, Bibliothèque nationale de France, Latin 9488, ff.42-45","F-Pnm Lat.9488 ff.42-45 (fragment)",,,,"11th century (1075-1100)",France,,,,,,,"http://cantus.uwaterloo.ca/source/702113",,,,
"SK-BRsa Breviarium Bibliotheca Capituli Posoniensis Manus. 81","SK-BRsa Manus.81",,,,"12th century",Austria,,,,,,,"http://cantus.sk/source/13890",,,,
"P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. L 005","P-AR Res. L 005",,,,1513,"Arouca, Mosteiro de Santa Maria",,,,,,,"http://pemdatabase.eu/source/62421",,,,
"F-Pn : Lat. 9425","F-Pn Lat. 9425",,,,"12th century","abbaye Saint-Marien d'Auxerre",,,,,,,"http://musmed.eu/source/13283",Romanum,,,
"P- AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Ms. 17","P-AR Res. Ms. 017",,,,1800,"Arouca, Mosteiro de Santa Maria",,,,,,,"http://pemdatabase.eu/source/76063",Monastic,,,
"I-Bc : Q 03 (Fr 019)","I-Bc Q 03 (Fr 019)",,,,"13th century","Italie Centrale",,,,,,,"http://musmed.eu/source/32401",Romanum,,,
"F-Pn : Lat. 1087","F-Pn Lat. 1087",,,,"11th century",Cluny,,,,,,,"http://musmed.eu/source/13048",,,,
"I-BGc : MA 239 (Gamma III.18)","I-BGc MA 239 (Gamma III.18)",,,,"11th century",Brescia,,,,,,,"http://musmed.eu/source/8805",,,,
"SK-BJ (Bardejov) Antiphonarium MMBJ 1796","SK-BJ (Bardejov) MMBJ 1796",,,,"14th century",Hungary,,,,,,,"http://cantus.sk/source/29803",,,,
"SK-Bra (Bratislava) Antiphonary of Bratislava IIb EC Lad.4","SK-Bra IIb EC Lad.4",,,,"15th century",Bratislava,,,,,,,"http://cantus.sk/source/13551",,,,
"Augusta (GA), Augusta-Richmond County Library, GR/MS.020","US-Augusta GR/MS.020",,,,"16th century (1st half)",Italy,,,,,,,"http://cantus.uwaterloo.ca/source/638296",,,,
"SK-BRsa Antiphonarium Scepusiense sine Sign.","SK-BRsa Spis 0",,,,"15th century","Slovakia - Spišská Kapitula",,,,,,,"http://cantus.sk/source/13836",,,,
"F-VN : Ms 0084","F-VN Ms 0084",,,,"12th century",Italie,,,,,,,"http://musmed.eu/source/15488",Romanum,,,
"F-AS : Ms 0650 (cat. 569)","F-AS Ms 0650 (cat. 569)",,,,"10th century","France, Arras, Abbaye Saint-Vaast d'Arras",,,,,,,"http://musmed.eu/source/105289",,,,
"PL-Kk 48 Antyfonarz z Katedry Wawelskiej, de sanctis, pars hiemalis","ms. 48",,,,"15th century",Kraków,,,,,,,"http://cantus.ispan.pl/source/13734",,,,
"SK-BRnm (Bratislava) MUS I 9","SK-BRnm MUS I 9",,,,"14th century",Slovakia,,,,,,,"http://cantus.sk/source/210",,,,
"SK-KO (Košice) Antiphonarium H III/2 mac 17","SK-KO (Košice) H III/2 mac 17",,,,"15th century","Slovakia (medieval Hungary) Premonstratensians",,,,,,,"http://cantus.sk/source/30731",,,,
"SK-KO (Košice) Antiphonarium H III/2 mac 20","SK-KO (Košice) H III/2 mac 20",,,,"15th century","medieval Hungary (Eastern Slovakia: Spiš)",,,,,,,"http://cantus.sk/source/31033",,,,
"F-ME : Ms 0732 bis (Pièce 13)","F-ME Ms 0732 bis (Pièce 13)",,,,"13th century","Est de la France",,,,,,,"http://musmed.eu/source/21706",Monastic,,,
"E-Sco (Sevilla) Institución Colombina Libro 56","E-Sco Libro 056",,,,"15th century (second half)","Sevilla (E), Catedral",,,,,,,"http://pemdatabase.eu/source/70463",Secular,,,
"PL-WRu I F 416 Cistercian Gradual (Silesia)","I F 416",,,,"14th century","Cistercians, Henryków (Silesia)",,,,,,,"http://cantus.ispan.pl/source/41816",,,,
"PL-GD Mar. F 408 Antiphonarium, prima pars","Mar. F 408",,,,"16th century","St. Mary Church in Gdańsk",,,,,,,"http://cantus.ispan.pl/source/14397",,,,
"F-LA : Ms 0240","F-LA Ms 0240",,,,"14th century",Vauclerc ,,,,,,,"http://musmed.eu/source/11600",,,,
"D-DÜl : K04:010","D-DÜl K04:010",,,,"12th century","Ouest de l'Allemagne",,,,,,,"http://musmed.eu/source/9618",,,,
"D-KA : Fragment Karlsruhe 1391","D-KA Fragment Karlsruhe 1391",,,,"13th century",Karlsruhe,,,,,,,"http://musmed.eu/source/11247",Romanum,,,
"SK-BRsa Antiphonarium Scepusiense sine Sign. Anni 1558-1564","SK-BRsa Spis 1558",,,,"15th century","Slovakia - Spišská Kapitula",,,,,,,"http://cantus.sk/source/13707",,,,
"London, British Library, Additional 23935","GB-Lbl Add 23935",,,,"13th century (1250-1275)",Paris,,,,,,,"http://cantus.uwaterloo.ca/source/637892",,,,
"F-Pn : Lat. 17991","F-Pn Lat. 17991",,,,"11th century","Jacobins de la rue Saint-Jacques",,,,,,,"http://musmed.eu/source/13509",Romanum,,,
"SK-BRsa Antiphonarium Scepusiense sine Sign. Anni 1596-1602","SK-BRsa Spis 1596",,,,"15th century","Slovakia - Spišská Kapitula",,,,,,,"http://cantus.sk/source/13830",,,,
"Austin, Harry Ransom Center, 21","US-AUS 21",,,,"15th century",Germany,,,,,,,"http://cantus.uwaterloo.ca/source/709973",,,,
"SK-MO (Modra) Magistrát mesta Modry 5147 Register der Abgaben für das Winzerrecht 1626","SK-MO 5147",,,,"15th century",Slovakia,,,,,,,"http://cantus.sk/source/180",,,,
"V-CVbav : Urb. lat. 0602","V-CVbav Urb. lat. 0602",,,,"11th century",Montecassino,,,,,,,"http://musmed.eu/source/17334",,,,
"F-Pn : NAL 01414","F-Pn NAL 01414",,,,"12th century","Italie, Diocèse de Milan,  Morimondo, Sancte Marie de Morimundo",,,,,,,"http://musmed.eu/source/28426",,,,
"SK-Lap (Levoča) Breviarium SŽ 26","SK-Lap (Levoča) SŽ 36",,,,"13th century",Hungary,,,,,,,"http://cantus.sk/source/29839",,,,
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0234","CDN-Mlr MS Medieval 0234",,,,"16th century (1575-1600)",Germany,,,,,,,"http://cantus.uwaterloo.ca/source/678936",Secular,,,
